0.123602	0.123602	B
0.716890	0.716890	B
1.281338	1.281338	B
1.862266	1.862266	B
2.326758	2.326758	B
2.995283	2.995283	B
3.572091	3.572091	B
4.709227	4.709227	B
5.286035	5.286035	B
5.768082	5.768082	B
6.431411	6.431411	B
6.999980	6.999980	B
7.576788	7.576788	B
8.038673	8.038673	B
9.282492	9.282492	B
9.842820	9.842820	B
10.427868	10.427868	B
11.004676	11.004676	B
11.560884	11.560884	B
12.145933	12.145933	B
12.726861	12.726861	B
13.863997	13.863997	B
14.440805	14.440805	B
15.001133	15.001133	B
15.569701	15.569701	B
16.130029	16.130029	B
16.715078	16.715078	B
17.300126	17.300126	B
18.429022	18.429022	B
19.005830	19.005830	B
19.582638	19.582638	B
20.151206	20.151206	B
20.723895	20.723895	B
21.284223	21.284223	B
21.877511	21.877511	B
23.002287	23.002287	B
23.583215	23.583215	B
24.139423	24.139423	B
24.712111	24.712111	B
25.280679	25.280679	B
25.865728	25.865728	B
26.446656	26.446656	B
27.575552	27.575552	B
28.156480	28.156480	B
28.725048	28.725048	B
29.293616	29.293616	B
29.878665	29.878665	B
30.418392	30.418392	B
31.019921	31.019921	B
32.140577	32.140577	B
32.709145	32.709145	B
33.327154	33.327154	B
33.866881	33.866881	B
34.431329	34.431329	B
34.925736	34.925736	B
35.556105	35.556105	B
36.730322	36.730322	B
37.286530	37.286530	B
37.863338	37.863338	B
38.452507	38.452507	B
39.008714	39.008714	B
39.577283	39.577283	B
40.145851	40.145851	B
41.274747	41.274747	B
41.859795	41.859795	B
42.440723	42.440723	B
43.005171	43.005171	B
43.569619	43.569619	B
44.162908	44.162908	B
44.702635	44.702635	B
